Individual ID,Population,Super population,Population Details,Super population Details
HG00096,GBR,EUR,British,European
HG00097,GBR,EUR,British,European
HG00099,GBR,EUR,British,European
HG00100,GBR,EUR,British,European
HG00101,GBR,EUR,British,European
HG00102,GBR,EUR,British,European
HG00103,GBR,EUR,British,European
HG00105,GBR,EUR,British,European
HG00106,GBR,EUR,British,European
HG00107,GBR,EUR,British,European
HG00108,GBR,EUR,British,European
HG00109,GBR,EUR,British,European
HG00110,GBR,EUR,British,European
HG00111,GBR,EUR,British,European
HG00112,GBR,EUR,British,European
HG00113,GBR,EUR,British,European
HG00114,GBR,EUR,British,European
HG00115,GBR,EUR,British,European
HG00116,GBR,EUR,British,European
HG00117,GBR,EUR,British,European
HG00118,GBR,EUR,British,European
HG00119,GBR,EUR,British,European
HG00120,GBR,EUR,British,European
HG00121,GBR,EUR,British,European
HG00122,GBR,EUR,British,European
HG00123,GBR,EUR,British,European
HG00125,GBR,EUR,British,European
HG00126,GBR,EUR,British,European
HG00127,GBR,EUR,British,European
HG00128,GBR,EUR,British,European
HG00129,GBR,EUR,British,European
HG00130,GBR,EUR,British,European
HG00131,GBR,EUR,British,European
HG00132,GBR,EUR,British,European
HG00133,GBR,EUR,British,European
HG00136,GBR,EUR,British,European
HG00137,GBR,EUR,British,European
HG00138,GBR,EUR,British,European
HG00139,GBR,EUR,British,European
HG00140,GBR,EUR,British,European
HG00141,GBR,EUR,British,European
HG00142,GBR,EUR,British,European
HG00143,GBR,EUR,British,European
HG00145,GBR,EUR,British,European
HG00146,GBR,EUR,British,European
HG00148,GBR,EUR,British,European
HG00149,GBR,EUR,British,European
HG00150,GBR,EUR,British,European
HG00151,GBR,EUR,British,European
HG00154,GBR,EUR,British,European
HG00155,GBR,EUR,British,European
HG00157,GBR,EUR,British,European
HG00158,GBR,EUR,British,European
HG00159,GBR,EUR,British,European
HG00160,GBR,EUR,British,European
HG00171,FIN,EUR,Finnish,European
HG00173,FIN,EUR,Finnish,European
HG00174,FIN,EUR,Finnish,European
HG00176,FIN,EUR,Finnish,European
HG00177,FIN,EUR,Finnish,European
HG00178,FIN,EUR,Finnish,European
HG00179,FIN,EUR,Finnish,European
HG00180,FIN,EUR,Finnish,European
HG00181,FIN,EUR,Finnish,European
HG00182,FIN,EUR,Finnish,European
HG00183,FIN,EUR,Finnish,European
HG00185,FIN,EUR,Finnish,European
HG00186,FIN,EUR,Finnish,European
HG00187,FIN,EUR,Finnish,European
HG00188,FIN,EUR,Finnish,European
HG00189,FIN,EUR,Finnish,European
HG00190,FIN,EUR,Finnish,European
HG00231,GBR,EUR,British,European
HG00232,GBR,EUR,British,European
HG00233,GBR,EUR,British,European
HG00234,GBR,EUR,British,European
HG00235,GBR,EUR,British,European
HG00236,GBR,EUR,British,European
HG00237,GBR,EUR,British,European
HG00238,GBR,EUR,British,European
HG00239,GBR,EUR,British,European
HG00240,GBR,EUR,British,European
HG00242,GBR,EUR,British,European
HG00243,GBR,EUR,British,European
HG00244,GBR,EUR,British,European
HG00245,GBR,EUR,British,European
HG00246,GBR,EUR,British,European
HG00250,GBR,EUR,British,European
HG00251,GBR,EUR,British,European
HG00252,GBR,EUR,British,European
HG00253,GBR,EUR,British,European
HG00254,GBR,EUR,British,European
HG00255,GBR,EUR,British,European
HG00256,GBR,EUR,British,European
HG00257,GBR,EUR,British,European
HG00258,GBR,EUR,British,European
HG00259,GBR,EUR,British,European
HG00260,GBR,EUR,British,European
HG00261,GBR,EUR,British,European
HG00262,GBR,EUR,British,European
HG00263,GBR,EUR,British,European
HG00264,GBR,EUR,British,European
HG00265,GBR,EUR,British,European
HG00266,FIN,EUR,Finnish,European
HG00267,FIN,EUR,Finnish,European
HG00268,FIN,EUR,Finnish,European
HG00269,FIN,EUR,Finnish,European
HG00271,FIN,EUR,Finnish,European
HG00272,FIN,EUR,Finnish,European
HG00273,FIN,EUR,Finnish,European
HG00274,FIN,EUR,Finnish,European
HG00275,FIN,EUR,Finnish,European
HG00276,FIN,EUR,Finnish,European
HG00277,FIN,EUR,Finnish,European
HG00278,FIN,EUR,Finnish,European
HG00280,FIN,EUR,Finnish,European
HG00281,FIN,EUR,Finnish,European
HG00282,FIN,EUR,Finnish,European
HG00284,FIN,EUR,Finnish,European
HG00285,FIN,EUR,Finnish,European
HG00288,FIN,EUR,Finnish,European
HG00290,FIN,EUR,Finnish,European
HG00304,FIN,EUR,Finnish,European
HG00306,FIN,EUR,Finnish,European
HG00308,FIN,EUR,Finnish,European
HG00309,FIN,EUR,Finnish,European
HG00310,FIN,EUR,Finnish,European
HG00311,FIN,EUR,Finnish,European
HG00313,FIN,EUR,Finnish,European
HG00315,FIN,EUR,Finnish,European
HG00318,FIN,EUR,Finnish,European
HG00319,FIN,EUR,Finnish,European
HG00320,FIN,EUR,Finnish,European
HG00321,FIN,EUR,Finnish,European
HG00323,FIN,EUR,Finnish,European
HG00324,FIN,EUR,Finnish,European
HG00325,FIN,EUR,Finnish,European
HG00326,FIN,EUR,Finnish,European
HG00327,FIN,EUR,Finnish,European
HG00328,FIN,EUR,Finnish,European
HG00329,FIN,EUR,Finnish,European
HG00330,FIN,EUR,Finnish,European
HG00331,FIN,EUR,Finnish,European
HG00332,FIN,EUR,Finnish,European
HG00334,FIN,EUR,Finnish,European
HG00335,FIN,EUR,Finnish,European
HG00336,FIN,EUR,Finnish,European
HG00337,FIN,EUR,Finnish,European
HG00338,FIN,EUR,Finnish,European
HG00339,FIN,EUR,Finnish,European
HG00341,FIN,EUR,Finnish,European
HG00342,FIN,EUR,Finnish,European
HG00343,FIN,EUR,Finnish,European
HG00344,FIN,EUR,Finnish,European
HG00345,FIN,EUR,Finnish,European
HG00346,FIN,EUR,Finnish,European
HG00349,FIN,EUR,Finnish,European
HG00350,FIN,EUR,Finnish,European
HG00351,FIN,EUR,Finnish,European
HG00353,FIN,EUR,Finnish,European
HG00355,FIN,EUR,Finnish,European
HG00356,FIN,EUR,Finnish,European
HG00357,FIN,EUR,Finnish,European
HG00358,FIN,EUR,Finnish,European
HG00360,FIN,EUR,Finnish,European
HG00361,FIN,EUR,Finnish,European
HG00362,FIN,EUR,Finnish,European
HG00364,FIN,EUR,Finnish,European
HG00365,FIN,EUR,Finnish,European
HG00366,FIN,EUR,Finnish,European
HG00367,FIN,EUR,Finnish,European
HG00368,FIN,EUR,Finnish,European
HG00369,FIN,EUR,Finnish,European
HG00371,FIN,EUR,Finnish,European
HG00372,FIN,EUR,Finnish,European
HG00373,FIN,EUR,Finnish,European
HG00375,FIN,EUR,Finnish,European
HG00376,FIN,EUR,Finnish,European
HG00378,FIN,EUR,Finnish,European
HG00379,FIN,EUR,Finnish,European
HG00380,FIN,EUR,Finnish,European
HG00381,FIN,EUR,Finnish,European
HG00382,FIN,EUR,Finnish,European
HG00383,FIN,EUR,Finnish,European
HG00384,FIN,EUR,Finnish,European
HG00403,CHS,EAS,Southern Han Chinese,East Asian
HG00404,CHS,EAS,Southern Han Chinese,East Asian
HG00406,CHS,EAS,Southern Han Chinese,East Asian
HG00407,CHS,EAS,Southern Han Chinese,East Asian
HG00409,CHS,EAS,Southern Han Chinese,East Asian
HG00410,CHS,EAS,Southern Han Chinese,East Asian
HG00419,CHS,EAS,Southern Han Chinese,East Asian
HG00421,CHS,EAS,Southern Han Chinese,East Asian
HG00422,CHS,EAS,Southern Han Chinese,East Asian
HG00428,CHS,EAS,Southern Han Chinese,East Asian
HG00436,CHS,EAS,Southern Han Chinese,East Asian
HG00437,CHS,EAS,Southern Han Chinese,East Asian
HG00442,CHS,EAS,Southern Han Chinese,East Asian
HG00443,CHS,EAS,Southern Han Chinese,East Asian
HG00445,CHS,EAS,Southern Han Chinese,East Asian
HG00446,CHS,EAS,Southern Han Chinese,East Asian
HG00448,CHS,EAS,Southern Han Chinese,East Asian
HG00449,CHS,EAS,Southern Han Chinese,East Asian
HG00451,CHS,EAS,Southern Han Chinese,East Asian
HG00452,CHS,EAS,Southern Han Chinese,East Asian
HG00457,CHS,EAS,Southern Han Chinese,East Asian
HG00458,CHS,EAS,Southern Han Chinese,East Asian
HG00463,CHS,EAS,Southern Han Chinese,East Asian
HG00464,CHS,EAS,Southern Han Chinese,East Asian
HG00472,CHS,EAS,Southern Han Chinese,East Asian
HG00473,CHS,EAS,Southern Han Chinese,East Asian
HG00475,CHS,EAS,Southern Han Chinese,East Asian
HG00476,CHS,EAS,Southern Han Chinese,East Asian
HG00478,CHS,EAS,Southern Han Chinese,East Asian
HG00479,CHS,EAS,Southern Han Chinese,East Asian
HG00500,CHS,EAS,Southern Han Chinese,East Asian
HG00513,CHS,EAS,Southern Han Chinese,East Asian
HG00524,CHS,EAS,Southern Han Chinese,East Asian
HG00525,CHS,EAS,Southern Han Chinese,East Asian
HG00530,CHS,EAS,Southern Han Chinese,East Asian
HG00531,CHS,EAS,Southern Han Chinese,East Asian
HG00533,CHS,EAS,Southern Han Chinese,East Asian
HG00534,CHS,EAS,Southern Han Chinese,East Asian
HG00536,CHS,EAS,Southern Han Chinese,East Asian
HG00537,CHS,EAS,Southern Han Chinese,East Asian
HG00542,CHS,EAS,Southern Han Chinese,East Asian
HG00543,CHS,EAS,Southern Han Chinese,East Asian
HG00551,PUR,AMR,Puerto Rican,American
HG00553,PUR,AMR,Puerto Rican,American
HG00554,PUR,AMR,Puerto Rican,American
HG00556,CHS,EAS,Southern Han Chinese,East Asian
HG00557,CHS,EAS,Southern Han Chinese,East Asian
HG00559,CHS,EAS,Southern Han Chinese,East Asian
HG00560,CHS,EAS,Southern Han Chinese,East Asian
HG00565,CHS,EAS,Southern Han Chinese,East Asian
HG00566,CHS,EAS,Southern Han Chinese,East Asian
HG00580,CHS,EAS,Southern Han Chinese,East Asian
HG00581,CHS,EAS,Southern Han Chinese,East Asian
HG00583,CHS,EAS,Southern Han Chinese,East Asian
HG00584,CHS,EAS,Southern Han Chinese,East Asian
HG00589,CHS,EAS,Southern Han Chinese,East Asian
HG00590,CHS,EAS,Southern Han Chinese,East Asian
HG00592,CHS,EAS,Southern Han Chinese,East Asian
HG00593,CHS,EAS,Southern Han Chinese,East Asian
HG00595,CHS,EAS,Southern Han Chinese,East Asian
HG00596,CHS,EAS,Southern Han Chinese,East Asian
HG00598,CHS,EAS,Southern Han Chinese,East Asian
HG00599,CHS,EAS,Southern Han Chinese,East Asian
HG00607,CHS,EAS,Southern Han Chinese,East Asian
HG00608,CHS,EAS,Southern Han Chinese,East Asian
HG00610,CHS,EAS,Southern Han Chinese,East Asian
HG00611,CHS,EAS,Southern Han Chinese,East Asian
HG00613,CHS,EAS,Southern Han Chinese,East Asian
HG00614,CHS,EAS,Southern Han Chinese,East Asian
HG00619,CHS,EAS,Southern Han Chinese,East Asian
HG00620,CHS,EAS,Southern Han Chinese,East Asian
HG00622,CHS,EAS,Southern Han Chinese,East Asian
HG00623,CHS,EAS,Southern Han Chinese,East Asian
HG00625,CHS,EAS,Southern Han Chinese,East Asian
HG00626,CHS,EAS,Southern Han Chinese,East Asian
HG00628,CHS,EAS,Southern Han Chinese,East Asian
HG00629,CHS,EAS,Southern Han Chinese,East Asian
HG00631,CHS,EAS,Southern Han Chinese,East Asian
HG00632,CHS,EAS,Southern Han Chinese,East Asian
HG00634,CHS,EAS,Southern Han Chinese,East Asian
HG00637,PUR,AMR,Puerto Rican,American
HG00638,PUR,AMR,Puerto Rican,American
HG00640,PUR,AMR,Puerto Rican,American
HG00641,PUR,AMR,Puerto Rican,American
HG00650,CHS,EAS,Southern Han Chinese,East Asian
HG00651,CHS,EAS,Southern Han Chinese,East Asian
HG00653,CHS,EAS,Southern Han Chinese,East Asian
HG00654,CHS,EAS,Southern Han Chinese,East Asian
HG00656,CHS,EAS,Southern Han Chinese,East Asian
HG00657,CHS,EAS,Southern Han Chinese,East Asian
HG00662,CHS,EAS,Southern Han Chinese,East Asian
HG00663,CHS,EAS,Southern Han Chinese,East Asian
HG00671,CHS,EAS,Southern Han Chinese,East Asian
HG00672,CHS,EAS,Southern Han Chinese,East Asian
HG00674,CHS,EAS,Southern Han Chinese,East Asian
HG00675,CHS,EAS,Southern Han Chinese,East Asian
HG00683,CHS,EAS,Southern Han Chinese,East Asian
HG00684,CHS,EAS,Southern Han Chinese,East Asian
HG00689,CHS,EAS,Southern Han Chinese,East Asian
HG00690,CHS,EAS,Southern Han Chinese,East Asian
HG00692,CHS,EAS,Southern Han Chinese,East Asian
HG00693,CHS,EAS,Southern Han Chinese,East Asian
HG00698,CHS,EAS,Southern Han Chinese,East Asian
HG00699,CHS,EAS,Southern Han Chinese,East Asian
HG00701,CHS,EAS,Southern Han Chinese,East Asian
HG00704,CHS,EAS,Southern Han Chinese,East Asian
HG00705,CHS,EAS,Southern Han Chinese,East Asian
HG00707,CHS,EAS,Southern Han Chinese,East Asian
HG00708,CHS,EAS,Southern Han Chinese,East Asian
HG00717,CHS,EAS,Southern Han Chinese,East Asian
HG00728,CHS,EAS,Southern Han Chinese,East Asian
HG00729,CHS,EAS,Southern Han Chinese,East Asian
HG00731,PUR,AMR,Puerto Rican,American
HG00732,PUR,AMR,Puerto Rican,American
HG00734,PUR,AMR,Puerto Rican,American
HG00736,PUR,AMR,Puerto Rican,American
HG00737,PUR,AMR,Puerto Rican,American
HG00739,PUR,AMR,Puerto Rican,American
HG00740,PUR,AMR,Puerto Rican,American
HG00742,PUR,AMR,Puerto Rican,American
HG00743,PUR,AMR,Puerto Rican,American
HG00759,CDX,EAS,Dai Chinese,East Asian
HG00766,CDX,EAS,Dai Chinese,East Asian
HG00844,CDX,EAS,Dai Chinese,East Asian
HG00851,CDX,EAS,Dai Chinese,East Asian
HG00864,CDX,EAS,Dai Chinese,East Asian
HG00867,CDX,EAS,Dai Chinese,East Asian
HG00879,CDX,EAS,Dai Chinese,East Asian
HG00881,CDX,EAS,Dai Chinese,East Asian
HG00956,CDX,EAS,Dai Chinese,East Asian
HG00978,CDX,EAS,Dai Chinese,East Asian
HG00982,CDX,EAS,Dai Chinese,East Asian
HG01028,CDX,EAS,Dai Chinese,East Asian
HG01029,CDX,EAS,Dai Chinese,East Asian
HG01031,CDX,EAS,Dai Chinese,East Asian
HG01046,CDX,EAS,Dai Chinese,East Asian
HG01047,PUR,AMR,Puerto Rican,American
HG01048,PUR,AMR,Puerto Rican,American
HG01049,PUR,AMR,Puerto Rican,American
HG01051,PUR,AMR,Puerto Rican,American
HG01052,PUR,AMR,Puerto Rican,American
HG01054,PUR,AMR,Puerto Rican,American
HG01055,PUR,AMR,Puerto Rican,American
HG01058,PUR,AMR,Puerto Rican,American
HG01060,PUR,AMR,Puerto Rican,American
HG01061,PUR,AMR,Puerto Rican,American
HG01063,PUR,AMR,Puerto Rican,American
HG01064,PUR,AMR,Puerto Rican,American
HG01066,PUR,AMR,Puerto Rican,American
HG01067,PUR,AMR,Puerto Rican,American
HG01069,PUR,AMR,Puerto Rican,American
HG01070,PUR,AMR,Puerto Rican,American
HG01072,PUR,AMR,Puerto Rican,American
HG01073,PUR,AMR,Puerto Rican,American
HG01075,PUR,AMR,Puerto Rican,American
HG01077,PUR,AMR,Puerto Rican,American
HG01079,PUR,AMR,Puerto Rican,American
HG01080,PUR,AMR,Puerto Rican,American
HG01082,PUR,AMR,Puerto Rican,American
HG01083,PUR,AMR,Puerto Rican,American
HG01085,PUR,AMR,Puerto Rican,American
HG01086,PUR,AMR,Puerto Rican,American
HG01088,PUR,AMR,Puerto Rican,American
HG01089,PUR,AMR,Puerto Rican,American
HG01092,PUR,AMR,Puerto Rican,American
HG01094,PUR,AMR,Puerto Rican,American
HG01095,PUR,AMR,Puerto Rican,American
HG01097,PUR,AMR,Puerto Rican,American
HG01098,PUR,AMR,Puerto Rican,American
HG01101,PUR,AMR,Puerto Rican,American
HG01102,PUR,AMR,Puerto Rican,American
HG01104,PUR,AMR,Puerto Rican,American
HG01105,PUR,AMR,Puerto Rican,American
HG01107,PUR,AMR,Puerto Rican,American
HG01108,PUR,AMR,Puerto Rican,American
HG01110,PUR,AMR,Puerto Rican,American
HG01111,PUR,AMR,Puerto Rican,American
HG01112,CLM,AMR,Colombian,American
HG01113,CLM,AMR,Colombian,American
HG01119,CLM,AMR,Colombian,American
HG01121,CLM,AMR,Colombian,American
HG01122,CLM,AMR,Colombian,American
HG01124,CLM,AMR,Colombian,American
HG01125,CLM,AMR,Colombian,American
HG01130,CLM,AMR,Colombian,American
HG01131,CLM,AMR,Colombian,American
HG01133,CLM,AMR,Colombian,American
HG01134,CLM,AMR,Colombian,American
HG01136,CLM,AMR,Colombian,American
HG01137,CLM,AMR,Colombian,American
HG01139,CLM,AMR,Colombian,American
HG01140,CLM,AMR,Colombian,American
HG01142,CLM,AMR,Colombian,American
HG01148,CLM,AMR,Colombian,American
HG01149,CLM,AMR,Colombian,American
HG01161,PUR,AMR,Puerto Rican,American
HG01162,PUR,AMR,Puerto Rican,American
HG01164,PUR,AMR,Puerto Rican,American
HG01167,PUR,AMR,Puerto Rican,American
HG01168,PUR,AMR,Puerto Rican,American
HG01170,PUR,AMR,Puerto Rican,American
HG01171,PUR,AMR,Puerto Rican,American
HG01173,PUR,AMR,Puerto Rican,American
HG01174,PUR,AMR,Puerto Rican,American
HG01176,PUR,AMR,Puerto Rican,American
HG01177,PUR,AMR,Puerto Rican,American
HG01182,PUR,AMR,Puerto Rican,American
HG01183,PUR,AMR,Puerto Rican,American
HG01187,PUR,AMR,Puerto Rican,American
HG01188,PUR,AMR,Puerto Rican,American
HG01190,PUR,AMR,Puerto Rican,American
HG01191,PUR,AMR,Puerto Rican,American
HG01197,PUR,AMR,Puerto Rican,American
HG01198,PUR,AMR,Puerto Rican,American
HG01200,PUR,AMR,Puerto Rican,American
HG01204,PUR,AMR,Puerto Rican,American
HG01205,PUR,AMR,Puerto Rican,American
HG01241,PUR,AMR,Puerto Rican,American
HG01242,PUR,AMR,Puerto Rican,American
HG01247,PUR,AMR,Puerto Rican,American
HG01248,PUR,AMR,Puerto Rican,American
HG01250,CLM,AMR,Colombian,American
HG01251,CLM,AMR,Colombian,American
HG01253,CLM,AMR,Colombian,American
HG01254,CLM,AMR,Colombian,American
HG01256,CLM,AMR,Colombian,American
HG01257,CLM,AMR,Colombian,American
HG01259,CLM,AMR,Colombian,American
HG01260,CLM,AMR,Colombian,American
HG01269,CLM,AMR,Colombian,American
HG01271,CLM,AMR,Colombian,American
HG01272,CLM,AMR,Colombian,American
HG01275,CLM,AMR,Colombian,American
HG01277,CLM,AMR,Colombian,American
HG01280,CLM,AMR,Colombian,American
HG01281,CLM,AMR,Colombian,American
HG01284,CLM,AMR,Colombian,American
HG01286,PUR,AMR,Puerto Rican,American
HG01302,PUR,AMR,Puerto Rican,American
HG01303,PUR,AMR,Puerto Rican,American
HG01305,PUR,AMR,Puerto Rican,American
HG01308,PUR,AMR,Puerto Rican,American
HG01311,PUR,AMR,Puerto Rican,American
HG01312,PUR,AMR,Puerto Rican,American
HG01323,PUR,AMR,Puerto Rican,American
HG01325,PUR,AMR,Puerto Rican,American
HG01326,PUR,AMR,Puerto Rican,American
HG01334,GBR,EUR,British,European
HG01341,CLM,AMR,Colombian,American
HG01342,CLM,AMR,Colombian,American
HG01344,CLM,AMR,Colombian,American
HG01345,CLM,AMR,Colombian,American
HG01348,CLM,AMR,Colombian,American
HG01350,CLM,AMR,Colombian,American
HG01351,CLM,AMR,Colombian,American
HG01353,CLM,AMR,Colombian,American
HG01354,CLM,AMR,Colombian,American
HG01356,CLM,AMR,Colombian,American
HG01357,CLM,AMR,Colombian,American
HG01359,CLM,AMR,Colombian,American
HG01360,CLM,AMR,Colombian,American
HG01362,CLM,AMR,Colombian,American
HG01363,CLM,AMR,Colombian,American
HG01365,CLM,AMR,Colombian,American
HG01366,CLM,AMR,Colombian,American
HG01369,CLM,AMR,Colombian,American
HG01372,CLM,AMR,Colombian,American
HG01374,CLM,AMR,Colombian,American
HG01375,CLM,AMR,Colombian,American
HG01377,CLM,AMR,Colombian,American
HG01378,CLM,AMR,Colombian,American
HG01383,CLM,AMR,Colombian,American
HG01384,CLM,AMR,Colombian,American
HG01389,CLM,AMR,Colombian,American
HG01390,CLM,AMR,Colombian,American
HG01392,PUR,AMR,Puerto Rican,American
HG01393,PUR,AMR,Puerto Rican,American
HG01395,PUR,AMR,Puerto Rican,American
HG01396,PUR,AMR,Puerto Rican,American
HG01398,PUR,AMR,Puerto Rican,American
HG01402,PUR,AMR,Puerto Rican,American
HG01403,PUR,AMR,Puerto Rican,American
HG01405,PUR,AMR,Puerto Rican,American
HG01412,PUR,AMR,Puerto Rican,American
HG01413,PUR,AMR,Puerto Rican,American
HG01414,PUR,AMR,Puerto Rican,American
HG01431,CLM,AMR,Colombian,American
HG01432,CLM,AMR,Colombian,American
HG01435,CLM,AMR,Colombian,American
HG01437,CLM,AMR,Colombian,American
HG01438,CLM,AMR,Colombian,American
HG01440,CLM,AMR,Colombian,American
HG01441,CLM,AMR,Colombian,American
HG01443,CLM,AMR,Colombian,American
HG01444,CLM,AMR,Colombian,American
HG01447,CLM,AMR,Colombian,American
HG01455,CLM,AMR,Colombian,American
HG01456,CLM,AMR,Colombian,American
HG01459,CLM,AMR,Colombian,American
HG01461,CLM,AMR,Colombian,American
HG01462,CLM,AMR,Colombian,American
HG01464,CLM,AMR,Colombian,American
HG01465,CLM,AMR,Colombian,American
HG01468,CLM,AMR,Colombian,American
HG01474,CLM,AMR,Colombian,American
HG01479,CLM,AMR,Colombian,American
HG01485,CLM,AMR,Colombian,American
HG01486,CLM,AMR,Colombian,American
HG01488,CLM,AMR,Colombian,American
HG01489,CLM,AMR,Colombian,American
HG01491,CLM,AMR,Colombian,American
HG01492,CLM,AMR,Colombian,American
HG01494,CLM,AMR,Colombian,American
HG01495,CLM,AMR,Colombian,American
HG01497,CLM,AMR,Colombian,American
HG01498,CLM,AMR,Colombian,American
HG01500,IBS,EUR,Spanish,European
HG01501,IBS,EUR,Spanish,European
HG01503,IBS,EUR,Spanish,European
HG01504,IBS,EUR,Spanish,European
HG01506,IBS,EUR,Spanish,European
HG01507,IBS,EUR,Spanish,European
HG01509,IBS,EUR,Spanish,European
HG01510,IBS,EUR,Spanish,European
HG01512,IBS,EUR,Spanish,European
HG01513,IBS,EUR,Spanish,European
HG01515,IBS,EUR,Spanish,European
HG01516,IBS,EUR,Spanish,European
HG01518,IBS,EUR,Spanish,European
HG01519,IBS,EUR,Spanish,European
HG01521,IBS,EUR,Spanish,European
HG01522,IBS,EUR,Spanish,European
HG01524,IBS,EUR,Spanish,European
HG01525,IBS,EUR,Spanish,European
HG01527,IBS,EUR,Spanish,European
HG01528,IBS,EUR,Spanish,European
HG01530,IBS,EUR,Spanish,European
HG01531,IBS,EUR,Spanish,European
HG01536,IBS,EUR,Spanish,European
HG01537,IBS,EUR,Spanish,European
HG01550,CLM,AMR,Colombian,American
HG01551,CLM,AMR,Colombian,American
HG01556,CLM,AMR,Colombian,American
HG01565,PEL,AMR,Peruvian,American
HG01566,PEL,AMR,Peruvian,American
HG01571,PEL,AMR,Peruvian,American
HG01572,PEL,AMR,Peruvian,American
HG01577,PEL,AMR,Peruvian,American
HG01578,PEL,AMR,Peruvian,American
HG01583,PJL,SAS,,South Asian
HG01586,PJL,SAS,,South Asian
HG01589,PJL,SAS,,South Asian
HG01593,PJL,SAS,,South Asian
HG01595,KHV,EAS,King Vietnamese,East Asian
HG01596,KHV,EAS,King Vietnamese,East Asian
HG01597,KHV,EAS,King Vietnamese,East Asian
HG01598,KHV,EAS,King Vietnamese,East Asian
HG01599,KHV,EAS,King Vietnamese,East Asian
HG01600,KHV,EAS,King Vietnamese,East Asian
HG01602,IBS,EUR,Spanish,European
HG01603,IBS,EUR,Spanish,European
HG01605,IBS,EUR,Spanish,European
HG01606,IBS,EUR,Spanish,European
HG01607,IBS,EUR,Spanish,European
HG01608,IBS,EUR,Spanish,European
HG01610,IBS,EUR,Spanish,European
HG01612,IBS,EUR,Spanish,European
HG01613,IBS,EUR,Spanish,European
HG01615,IBS,EUR,Spanish,European
HG01617,IBS,EUR,Spanish,European
HG01618,IBS,EUR,Spanish,European
HG01619,IBS,EUR,Spanish,European
HG01620,IBS,EUR,Spanish,European
HG01623,IBS,EUR,Spanish,European
HG01624,IBS,EUR,Spanish,European
HG01625,IBS,EUR,Spanish,European
HG01626,IBS,EUR,Spanish,European
HG01628,IBS,EUR,Spanish,European
HG01630,IBS,EUR,Spanish,European
HG01631,IBS,EUR,Spanish,European
HG01632,IBS,EUR,Spanish,European
HG01668,IBS,EUR,Spanish,European
HG01669,IBS,EUR,Spanish,European
HG01670,IBS,EUR,Spanish,European
HG01672,IBS,EUR,Spanish,European
HG01673,IBS,EUR,Spanish,European
HG01675,IBS,EUR,Spanish,European
HG01676,IBS,EUR,Spanish,European
HG01678,IBS,EUR,Spanish,European
HG01679,IBS,EUR,Spanish,European
HG01680,IBS,EUR,Spanish,European
HG01682,IBS,EUR,Spanish,European
HG01684,IBS,EUR,Spanish,European
HG01685,IBS,EUR,Spanish,European
HG01686,IBS,EUR,Spanish,European
HG01694,IBS,EUR,Spanish,European
HG01695,IBS,EUR,Spanish,European
HG01697,IBS,EUR,Spanish,European
HG01699,IBS,EUR,Spanish,European
HG01700,IBS,EUR,Spanish,European
HG01702,IBS,EUR,Spanish,European
HG01704,IBS,EUR,Spanish,European
HG01705,IBS,EUR,Spanish,European
HG01707,IBS,EUR,Spanish,European
HG01708,IBS,EUR,Spanish,European
HG01709,IBS,EUR,Spanish,European
HG01710,IBS,EUR,Spanish,European
HG01746,IBS,EUR,Spanish,European
HG01747,IBS,EUR,Spanish,European
HG01756,IBS,EUR,Spanish,European
HG01757,IBS,EUR,Spanish,European
HG01761,IBS,EUR,Spanish,European
HG01762,IBS,EUR,Spanish,European
HG01765,IBS,EUR,Spanish,European
HG01766,IBS,EUR,Spanish,European
HG01767,IBS,EUR,Spanish,European
HG01768,IBS,EUR,Spanish,European
HG01770,IBS,EUR,Spanish,European
HG01771,IBS,EUR,Spanish,European
HG01773,IBS,EUR,Spanish,European
HG01775,IBS,EUR,Spanish,European
HG01776,IBS,EUR,Spanish,European
HG01777,IBS,EUR,Spanish,European
HG01779,IBS,EUR,Spanish,European
HG01781,IBS,EUR,Spanish,European
HG01783,IBS,EUR,Spanish,European
HG01784,IBS,EUR,Spanish,European
HG01785,IBS,EUR,Spanish,European
HG01786,IBS,EUR,Spanish,European
HG01789,GBR,EUR,British,European
HG01790,GBR,EUR,British,European
HG01791,GBR,EUR,British,European
HG01794,CDX,EAS,Dai Chinese,East Asian
HG01795,CDX,EAS,Dai Chinese,East Asian
HG01796,CDX,EAS,Dai Chinese,East Asian
HG01797,CDX,EAS,Dai Chinese,East Asian
HG01798,CDX,EAS,Dai Chinese,East Asian
HG01799,CDX,EAS,Dai Chinese,East Asian
HG01800,CDX,EAS,Dai Chinese,East Asian
HG01801,CDX,EAS,Dai Chinese,East Asian
HG01802,CDX,EAS,Dai Chinese,East Asian
HG01804,CDX,EAS,Dai Chinese,East Asian
HG01805,CDX,EAS,Dai Chinese,East Asian
HG01806,CDX,EAS,Dai Chinese,East Asian
HG01807,CDX,EAS,Dai Chinese,East Asian
HG01808,CDX,EAS,Dai Chinese,East Asian
HG01809,CDX,EAS,Dai Chinese,East Asian
HG01810,CDX,EAS,Dai Chinese,East Asian
HG01811,CDX,EAS,Dai Chinese,East Asian
HG01812,CDX,EAS,Dai Chinese,East Asian
HG01813,CDX,EAS,Dai Chinese,East Asian
HG01815,CDX,EAS,Dai Chinese,East Asian
HG01816,CDX,EAS,Dai Chinese,East Asian
HG01817,CDX,EAS,Dai Chinese,East Asian
HG01840,KHV,EAS,King Vietnamese,East Asian
HG01841,KHV,EAS,King Vietnamese,East Asian
